date,filename,filename_id,fish_detected,confidence,actual_class,predicted_class,reason
2024-12-10,2024-12-10_10_35_00_(17769)_sardine_input.jpeg,(17769)_(1),2,[     0.9435     0.92811],Bad,Bad,Softness-0.33000001311302185
2024-12-10,2024-12-10_10_35_00_(17769)_sardine_input.jpeg,(17769)_(2),2,[     0.9435     0.92811],Bad,Bad,Softness-0.03700000047683716
2024-12-10,2024-12-10_10_39_23_(17788)_sardine_input.jpeg,(17788)_(1),2,[    0.94895     0.95084],Bad,Good,0.513
2024-12-10,2024-12-10_10_39_23_(17788)_sardine_input.jpeg,(17788)_(2),2,[    0.94895     0.95084],Bad,Bad,Softness-0.08900000154972076
2024-12-10,2024-12-10_10_42_58_(17806)_sardine_input.jpeg,(17806)_(1),2,[    0.93533     0.94125],Bad,Bad,Softness-0.057999998331069946
2024-12-10,2024-12-10_10_42_58_(17806)_sardine_input.jpeg,(17806)_(2),2,[    0.93533     0.94125],Bad,Bad,Softness-0.27000001072883606
2024-12-10,2024-12-10_10_38_58_(17786)_sardine_input.jpeg,(17786)_(1),2,[    0.93492     0.94259],Bad,Bad,Softness-0.029999999329447746
2024-12-10,2024-12-10_10_38_58_(17786)_sardine_input.jpeg,(17786)_(2),2,[    0.93492     0.94259],Bad,Good,0.627
2024-12-10,2024-12-10_10_40_36_(17794)_sardine_input.jpeg,(17794)_(1),2,[    0.94572     0.94854],Bad,Bad,Softness-0.0949999988079071
2024-12-10,2024-12-10_10_40_36_(17794)_sardine_input.jpeg,(17794)_(2),2,[    0.94572     0.94854],Bad,Bad,Softness-0.1889999955892563
2024-12-10,2024-12-10_10_37_21_(17779)_sardine_input.jpeg,(17779)_(1),2,[    0.92766     0.92012],Bad,Bad,Softness-0.492000013589859
2024-12-10,2024-12-10_10_37_21_(17779)_sardine_input.jpeg,(17779)_(2),2,[    0.92766     0.92012],Bad,Bad,Softness-0.14399999380111694
2024-12-10,2024-12-10_10_40_46_(17795)_sardine_input.jpeg,(17795)_(1),2,[    0.94775     0.94274],Bad,Good,0.875
2024-12-10,2024-12-10_10_40_46_(17795)_sardine_input.jpeg,(17795)_(2),2,[    0.94775     0.94274],Bad,Bad,Softness-0.0729999989271164
2024-12-10,2024-12-10_10_43_20_(17808)_sardine_input.jpeg,(17808)_(1),2,[     0.9306     0.92631],Bad,Bad,Softness-0.20800000429153442
2024-12-10,2024-12-10_10_43_20_(17808)_sardine_input.jpeg,(17808)_(2),2,[     0.9306     0.92631],Bad,Bad,Softness-0.21899999678134918
2024-12-10,2024-12-10_10_40_24_(17793)_sardine_input.jpeg,(17793)_(1),2,[    0.93639     0.93004],Bad,Bad,Softness-0.2150000035762787
2024-12-10,2024-12-10_10_40_24_(17793)_sardine_input.jpeg,(17793)_(2),2,[    0.93639     0.93004],Bad,Bad,Softness-0.050999999046325684
2024-12-10,2024-12-10_10_37_39_(17780)_sardine_input.jpeg,(17780)_(1),2,[    0.93248     0.93936],Bad,Bad,Softness-0.0729999989271164
2024-12-10,2024-12-10_10_37_39_(17780)_sardine_input.jpeg,(17780)_(2),2,[    0.93248     0.93936],Bad,Bad,Softness-0.019999999552965164
2024-12-10,2024-12-10_10_42_10_(17802)_sardine_input.jpeg,(17802)_(1),2,[    0.91762     0.91265],Bad,Bad,Softness-0.07500000298023224
2024-12-10,2024-12-10_10_42_10_(17802)_sardine_input.jpeg,(17802)_(2),2,[    0.91762     0.91265],Bad,Bad,Softness-0.25600001215934753
2024-12-10,2024-12-10_10_39_36_(17789)_sardine_input.jpeg,(17789)_(1),2,[    0.94589      0.9407],Bad,Bad,Softness-0.4659999907016754
2024-12-10,2024-12-10_10_39_36_(17789)_sardine_input.jpeg,(17789)_(2),2,[    0.94589      0.9407],Bad,Bad,Softness-0.4650000035762787
2024-12-10,2024-12-10_10_34_14_(17765)_sardine_input.jpeg,(17765)_(1),2,[    0.94169     0.93609],Bad,Good,0.556
2024-12-10,2024-12-10_10_34_14_(17765)_sardine_input.jpeg,(17765)_(2),2,[    0.94169     0.93609],Bad,Bad,Softness-0.289000004529953
2024-12-10,2024-12-10_10_35_58_(17773)_sardine_input.jpeg,(17773)_(1),2,[    0.93817     0.94437],Bad,Bad,Softness-0.024000000208616257
2024-12-10,2024-12-10_10_35_58_(17773)_sardine_input.jpeg,(17773)_(2),2,[    0.93817     0.94437],Bad,Bad,Softness-0.1889999955892563
2024-12-10,2024-12-10_10_38_43_(17785)_sardine_input.jpeg,(17785)_(1),2,[     0.9188     0.92466],Bad,Good,0.703
2024-12-10,2024-12-10_10_38_43_(17785)_sardine_input.jpeg,(17785)_(2),2,[     0.9188     0.92466],Bad,Bad,Softness-0.2939999997615814
2024-12-10,2024-12-10_10_35_46_(17772)_sardine_input.jpeg,(17772)_(1),2,[    0.92042     0.92693],Bad,Bad,Softness-0.03799999877810478
2024-12-10,2024-12-10_10_35_46_(17772)_sardine_input.jpeg,(17772)_(2),2,[    0.92042     0.92693],Bad,Bad,Softness-0.3370000123977661
2024-12-10,2024-12-10_10_36_44_(17776)_sardine_input.jpeg,(17776)_(1),2,[    0.91972     0.94063],Bad,Good,0.93
2024-12-10,2024-12-10_10_36_44_(17776)_sardine_input.jpeg,(17776)_(2),2,[    0.91972     0.94063],Bad,Good,0.745
2024-12-10,2024-12-10_10_43_41_(17810)_sardine_input.jpeg,(17810)_(1),2,[     0.9469     0.95491],Bad,Bad,Softness-0.05900000035762787
2024-12-10,2024-12-10_10_43_41_(17810)_sardine_input.jpeg,(17810)_(2),2,[     0.9469     0.95491],Bad,Bad,Softness-0.008999999612569809
2024-12-10,2024-12-10_10_36_59_(17777)_sardine_input.jpeg,(17777)_(1),2,[    0.91545     0.93657],Bad,Bad,Softness-0.3409999907016754
2024-12-10,2024-12-10_10_36_59_(17777)_sardine_input.jpeg,(17777)_(2),2,[    0.91545     0.93657],Bad,Good,0.522
2024-12-10,2024-12-10_10_34_36_(17767)_sardine_input.jpeg,(17767)_(1),2,[    0.92487     0.93719],Bad,Good,0.77
2024-12-10,2024-12-10_10_34_36_(17767)_sardine_input.jpeg,(17767)_(2),2,[    0.92487     0.93719],Bad,Bad,Softness-0.1979999989271164
2024-12-10,2024-12-10_10_42_20_(17803)_sardine_input.jpeg,(17803)_(1),2,[    0.94737     0.92256],Bad,Bad,Softness-0.4790000021457672
2024-12-10,2024-12-10_10_42_20_(17803)_sardine_input.jpeg,(17803)_(2),2,[    0.94737     0.92256],Bad,Bad,Softness-0.2720000147819519
2024-12-10,2024-12-10_10_36_15_(17774)_sardine_input.jpeg,(17774)_(1),2,[    0.94424     0.94556],Bad,Bad,Softness-0.06599999964237213
2024-12-10,2024-12-10_10_36_15_(17774)_sardine_input.jpeg,(17774)_(2),2,[    0.94424     0.94556],Bad,Good,0.777
2024-12-10,2024-12-10_10_34_49_(17768)_sardine_input.jpeg,(17768)_(1),2,[    0.93097     0.94371],Bad,Bad,Softness-0.026000000536441803
2024-12-10,2024-12-10_10_34_49_(17768)_sardine_input.jpeg,(17768)_(2),2,[    0.93097     0.94371],Bad,Bad,Softness-0.0010000000474974513
2024-12-10,2024-12-10_10_37_09_(17778)_sardine_input.jpeg,(17778)_(1),2,[    0.92934     0.93913],Bad,Bad,Softness-0.028999999165534973
2024-12-10,2024-12-10_10_37_09_(17778)_sardine_input.jpeg,(17778)_(2),2,[    0.92934     0.93913],Bad,Bad,Softness-0.039000000804662704
2024-12-10,2024-12-10_10_35_25_(17771)_sardine_input.jpeg,(17771)_(1),2,[    0.90753     0.93534],Bad,Bad,Softness-0.05900000035762787
2024-12-10,2024-12-10_10_35_25_(17771)_sardine_input.jpeg,(17771)_(2),2,[    0.90753     0.93534],Bad,Bad,Softness-0.3709999918937683
2024-12-10,2024-12-10_10_39_09_(17787)_sardine_input.jpeg,(17787)_(1),2,[    0.93598     0.94367],Bad,Bad,Softness-0.10100000351667404
2024-12-10,2024-12-10_10_39_09_(17787)_sardine_input.jpeg,(17787)_(2),2,[    0.93598     0.94367],Bad,Good,0.643
2024-12-10,2024-12-10_10_43_32_(17809)_sardine_input.jpeg,(17809)_(1),2,[    0.91785     0.92619],Bad,Bad,Softness-0.28999999165534973
2024-12-10,2024-12-10_10_43_32_(17809)_sardine_input.jpeg,(17809)_(2),2,[    0.91785     0.92619],Bad,Bad,Softness-0.19599999487400055
2024-12-10,2024-12-10_10_38_22_(17783)_sardine_input.jpeg,(17783)_(1),2,[    0.92903     0.94362],Bad,Bad,Softness-0.24199999868869781
2024-12-10,2024-12-10_10_38_22_(17783)_sardine_input.jpeg,(17783)_(2),2,[    0.92903     0.94362],Bad,Bad,Softness-0.012000000104308128
2024-12-10,2024-12-10_10_38_12_(17782)_sardine_input.jpeg,(17782)_(1),2,[    0.93591     0.94137],Bad,Bad,Softness-0.0020000000949949026
2024-12-10,2024-12-10_10_38_12_(17782)_sardine_input.jpeg,(17782)_(2),2,[    0.93591     0.94137],Bad,Bad,Softness-0.0430000014603138
2024-12-10,2024-12-10_10_43_50_(17811)_sardine_input.jpeg,(17811)_(1),2,[    0.92647      0.9204],Bad,Good,0.757
2024-12-10,2024-12-10_10_43_50_(17811)_sardine_input.jpeg,(17811)_(2),2,[    0.92647      0.9204],Bad,Good,0.756
2024-12-10,2024-12-10_10_38_33_(17784)_sardine_input.jpeg,(17784)_(1),2,[    0.92267     0.93033],Bad,Bad,Softness-0.15800000727176666
2024-12-10,2024-12-10_10_38_33_(17784)_sardine_input.jpeg,(17784)_(2),2,[    0.92267     0.93033],Bad,Bad,Softness-0.07599999755620956
2024-12-10,2024-12-10_10_34_03_(17764)_sardine_input.jpeg,(17764)_(1),2,[    0.91283     0.93346],Bad,Bad,Softness-0.35499998927116394
2024-12-10,2024-12-10_10_34_03_(17764)_sardine_input.jpeg,(17764)_(2),2,[    0.91283     0.93346],Bad,Bad,Softness-0.09000000357627869
2024-12-10,2024-12-10_10_39_50_(17790)_sardine_input.jpeg,(17790)_(1),2,[    0.94231     0.93787],Bad,Bad,Softness-0.4189999997615814
2024-12-10,2024-12-10_10_39_50_(17790)_sardine_input.jpeg,(17790)_(2),2,[    0.94231     0.93787],Bad,Bad,Softness-0.004999999888241291
2024-12-10,2024-12-10_10_42_46_(17805)_sardine_input.jpeg,(17805)_(1),2,[    0.90575     0.94474],Bad,Bad,Softness-0.03400000184774399
2024-12-10,2024-12-10_10_42_46_(17805)_sardine_input.jpeg,(17805)_(2),2,[    0.90575     0.94474],Bad,Bad,Softness-0.1979999989271164
2024-12-10,2024-12-10_10_42_33_(17804)_sardine_input.jpeg,(17804)_(1),2,[    0.93023     0.92448],Bad,Good,0.796
2024-12-10,2024-12-10_10_42_33_(17804)_sardine_input.jpeg,(17804)_(2),2,[    0.93023     0.92448],Bad,Bad,Softness-0.33399999141693115
2024-12-10,2024-12-10_10_43_10_(17807)_sardine_input.jpeg,(17807)_(1),2,[    0.92699     0.93809],Bad,Bad,Softness-0.09799999743700027
2024-12-10,2024-12-10_10_43_10_(17807)_sardine_input.jpeg,(17807)_(2),2,[    0.92699     0.93809],Bad,Bad,Softness-0.33399999141693115
2024-12-10,2024-12-10_10_40_59_(17796)_sardine_input.jpeg,(17796)_(1),2,[     0.9126     0.92097],Bad,Good,0.6
2024-12-10,2024-12-10_10_40_59_(17796)_sardine_input.jpeg,(17796)_(2),2,[     0.9126     0.92097],Bad,Good,0.568
2024-12-10,2024-12-10_10_41_47_(17800)_sardine_input.jpeg,(17800)_(1),2,[    0.93985     0.93248],Bad,Bad,Softness-0.004000000189989805
2024-12-10,2024-12-10_10_41_47_(17800)_sardine_input.jpeg,(17800)_(2),2,[    0.93985     0.93248],Bad,Bad,Softness-0.14499999582767487
2024-12-10,2024-12-10_10_40_02_(17791)_sardine_input.jpeg,(17791)_(1),2,[    0.94057     0.93576],Bad,Bad,Softness-0.028999999165534973
2024-12-10,2024-12-10_10_40_02_(17791)_sardine_input.jpeg,(17791)_(2),2,[    0.94057     0.93576],Bad,Bad,Softness-0.13699999451637268
2024-12-10,2024-12-10_10_34_27_(17766)_sardine_input.jpeg,(17766)_(1),2,[    0.92989     0.91274],Bad,Bad,Softness-0.029999999329447746
2024-12-10,2024-12-10_10_34_27_(17766)_sardine_input.jpeg,(17766)_(2),2,[    0.92989     0.91274],Bad,Bad,Softness-0.22100000083446503
2024-12-10,2024-12-10_10_36_31_(17775)_sardine_input.jpeg,(17775)_(1),2,[     0.8939     0.93706],Bad,Bad,Softness-0.050999999046325684
2024-12-10,2024-12-10_10_36_31_(17775)_sardine_input.jpeg,(17775)_(2),2,[     0.8939     0.93706],Bad,Good,0.769
2024-12-10,2024-12-10_10_41_57_(17801)_sardine_input.jpeg,(17801)_(1),2,[    0.90691     0.93568],Bad,Bad,Softness-0.3799999952316284
2024-12-10,2024-12-10_10_41_57_(17801)_sardine_input.jpeg,(17801)_(2),2,[    0.90691     0.93568],Bad,Bad,Softness-0.13300000131130219
2024-12-10,2024-12-10_10_44_03_(17812)_sardine_input.jpeg,(17812)_(1),2,[    0.91983     0.89986],Good,Good,0.726
2024-12-10,2024-12-10_10_44_03_(17812)_sardine_input.jpeg,(17812)_(2),2,[    0.91983     0.89986],Good,Bad,Softness-0.31200000643730164
2025-01-21,2025-01-21_10_40_11_(18856)_sardine_input.jpeg,(18856)_(1),2,[    0.92635     0.92459],Bad,Good,0.767
2025-01-21,2025-01-21_10_40_11_(18856)_sardine_input.jpeg,(18856)_(2),2,[    0.92635     0.92459],Bad,Good,0.957
2025-01-21,2025-01-21_10_41_40_(18864)_sardine_input.jpeg,(18864)_(1),2,[    0.92672     0.94769],Bad,Bad,Softness-0.4830000102519989
2025-01-21,2025-01-21_10_41_40_(18864)_sardine_input.jpeg,(18864)_(2),2,[    0.92672     0.94769],Bad,Good,0.836
2025-01-21,2025-01-21_11_00_14_(18922)_sardine_input.jpeg,(18922)_(1),2,[    0.94076     0.94056],Bad,Bad,Softness-0.35600000619888306
2025-01-21,2025-01-21_11_00_14_(18922)_sardine_input.jpeg,(18922)_(2),2,[    0.94076     0.94056],Bad,Good,0.938
2025-01-21,2025-01-21_11_00_35_(18924)_sardine_input.jpeg,(18924)_(1),2,[    0.93032      0.9365],Bad,Bad,Softness-0.3310000002384186
2025-01-21,2025-01-21_11_00_35_(18924)_sardine_input.jpeg,(18924)_(2),2,[    0.93032      0.9365],Bad,Bad,Softness-0.20900000631809235
2025-01-21,2025-01-21_11_01_06_(18927)_sardine_input.jpeg,(18927)_(1),2,[    0.91627     0.92694],Bad,Bad,Softness-0.3970000147819519
2025-01-21,2025-01-21_11_01_06_(18927)_sardine_input.jpeg,(18927)_(2),2,[    0.91627     0.92694],Bad,Good,0.621
2025-01-21,2025-01-21_11_00_57_(18926)_sardine_input.jpeg,(18926)_(1),2,[    0.94419     0.94408],Bad,Bad,Softness-0.48100000619888306
2025-01-21,2025-01-21_11_00_57_(18926)_sardine_input.jpeg,(18926)_(2),2,[    0.94419     0.94408],Bad,Bad,Softness-0.017999999225139618
2025-01-21,2025-01-21_11_01_18_(18928)_sardine_input.jpeg,(18928)_(1),2,[    0.92836     0.93994],Bad,Bad,Softness-0.4560000002384186
2025-01-21,2025-01-21_11_01_18_(18928)_sardine_input.jpeg,(18928)_(2),2,[    0.92836     0.93994],Bad,Bad,Softness-0.009999999776482582
2025-01-21,2025-01-21_11_01_29_(18929)_sardine_input.jpeg,(18929)_(1),2,[    0.93862     0.95719],Bad,Bad,Softness-0.125
2025-01-21,2025-01-21_11_01_29_(18929)_sardine_input.jpeg,(18929)_(2),2,[    0.93862     0.95719],Bad,Bad,Softness-0.1720000058412552
2025-01-21,2025-01-21_10_30_24_(18833)_sardine_input.jpeg,(18833)_(1),2,[    0.92856     0.92673],Bad,Bad,Softness-0.4699999988079071
2025-01-21,2025-01-21_10_30_24_(18833)_sardine_input.jpeg,(18833)_(2),2,[    0.92856     0.92673],Bad,Bad,Softness-0.2630000114440918
2025-01-21,2025-01-21_10_42_26_(18868)_sardine_input.jpeg,(18868)_(1),2,[    0.94511     0.94785],Bad,Bad,Softness-0.2329999953508377
2025-01-21,2025-01-21_10_42_26_(18868)_sardine_input.jpeg,(18868)_(2),2,[    0.94511     0.94785],Bad,Good,0.73
2025-01-21,2025-01-21_10_40_22_(18857)_sardine_input.jpeg,(18857)_(1),2,[    0.93157      0.9251],Bad,Bad,Softness-0.44600000977516174
2025-01-21,2025-01-21_10_40_22_(18857)_sardine_input.jpeg,(18857)_(2),2,[    0.93157      0.9251],Bad,Good,0.846
2025-01-21,2025-01-21_10_41_08_(18861)_sardine_input.jpeg,(18861)_(1),2,[    0.93617     0.93906],Bad,Good,0.832
2025-01-21,2025-01-21_10_41_08_(18861)_sardine_input.jpeg,(18861)_(2),2,[    0.93617     0.93906],Bad,Good,0.939
2025-01-21,2025-01-21_10_41_50_(18865)_sardine_input.jpeg,(18865)_(1),2,[    0.93921     0.94834],Bad,Good,0.876
2025-01-21,2025-01-21_10_41_50_(18865)_sardine_input.jpeg,(18865)_(2),2,[    0.93921     0.94834],Bad,Good,0.92
2025-01-21,2025-01-21_10_21_13_(18788)_sardine_input.jpeg,(18788)_(1),2,[    0.91871     0.93777],Bad,Bad,Damaged-0.8590242862701416
2025-01-21,2025-01-21_10_21_13_(18788)_sardine_input.jpeg,(18788)_(2),2,[    0.91871     0.93777],Bad,Bad,Softness-0.31200000643730164
2025-01-21,2025-01-21_10_59_43_(18919)_sardine_input.jpeg,(18919)_(1),2,[    0.95061     0.95234],Bad,Good,0.506
2025-01-21,2025-01-21_10_59_43_(18919)_sardine_input.jpeg,(18919)_(2),2,[    0.95061     0.95234],Bad,Bad,Softness-0.13600000739097595
2025-01-21,2025-01-21_11_00_48_(18925)_sardine_input.jpeg,(18925)_(1),2,[    0.93125     0.93269],Bad,Good,0.675
2025-01-21,2025-01-21_11_00_48_(18925)_sardine_input.jpeg,(18925)_(2),2,[    0.93125     0.93269],Bad,Bad,Softness-0.36800000071525574
2025-01-21,2025-01-21_10_40_47_(18859)_sardine_input.jpeg,(18859)_(1),2,[     0.9451     0.95051],Bad,Good,0.866
2025-01-21,2025-01-21_10_40_47_(18859)_sardine_input.jpeg,(18859)_(2),2,[     0.9451     0.95051],Bad,Good,0.821
2025-01-21,2025-01-21_10_39_47_(18854)_sardine_input.jpeg,(18854)_(1),2,[    0.90898     0.93909],Bad,Good,0.902
2025-01-21,2025-01-21_10_39_47_(18854)_sardine_input.jpeg,(18854)_(2),2,[    0.90898     0.93909],Bad,Bad,Softness-0.24300000071525574
2025-01-21,2025-01-21_10_20_44_(18786)_sardine_input.jpeg,(18786)_(1),2,[     0.9276     0.92499],Bad,Good,0.77
2025-01-21,2025-01-21_10_20_44_(18786)_sardine_input.jpeg,(18786)_(2),2,[     0.9276     0.92499],Bad,Good,0.79
2025-01-21,2025-01-21_10_40_34_(18858)_sardine_input.jpeg,(18858)_(1),2,[    0.93524     0.93787],Bad,Bad,Softness-0.1379999965429306
2025-01-21,2025-01-21_10_40_34_(18858)_sardine_input.jpeg,(18858)_(2),2,[    0.93524     0.93787],Bad,Bad,Softness-0.23000000417232513
2025-01-21,2025-01-21_10_20_28_(18785)_sardine_input.jpeg,(18785)_(1),2,[    0.92759       0.934],Bad,Bad,Softness-0.06499999761581421
2025-01-21,2025-01-21_10_20_28_(18785)_sardine_input.jpeg,(18785)_(2),2,[    0.92759       0.934],Bad,Bad,Softness-0.24699999392032623
2025-01-21,2025-01-21_10_51_19_(18871)_sardine_input.jpeg,(18871)_(1),2,[    0.92779     0.93846],Bad,Bad,Softness-0.11100000143051147
2025-01-21,2025-01-21_10_51_19_(18871)_sardine_input.jpeg,(18871)_(2),2,[    0.92779     0.93846],Bad,Good,0.724
2025-01-21,2025-01-21_10_19_56_(18783)_sardine_input.jpeg,(18783)_(1),2,[    0.92194     0.91635],Bad,Bad,Softness-0.375
2025-01-21,2025-01-21_10_19_56_(18783)_sardine_input.jpeg,(18783)_(2),2,[    0.92194     0.91635],Bad,Good,0.915
2025-01-21,2025-01-21_10_21_25_(18789)_sardine_input.jpeg,(18789)_(1),2,[    0.92881     0.93857],Bad,Bad,Softness-0.25200000405311584
2025-01-21,2025-01-21_10_21_25_(18789)_sardine_input.jpeg,(18789)_(2),2,[    0.92881     0.93857],Bad,Good,0.503
2025-01-21,2025-01-21_10_21_44_(18790)_sardine_input.jpeg,(18790)_(1),2,[    0.93459     0.94982],Bad,Bad,Softness-0.039000000804662704
2025-01-21,2025-01-21_10_21_44_(18790)_sardine_input.jpeg,(18790)_(2),2,[    0.93459     0.94982],Bad,Bad,Softness-0.3479999899864197
2025-01-21,2025-01-21_10_40_58_(18860)_sardine_input.jpeg,(18860)_(1),2,[    0.91526     0.93719],Bad,Bad,Softness-0.2280000001192093
2025-01-21,2025-01-21_10_40_58_(18860)_sardine_input.jpeg,(18860)_(2),2,[    0.91526     0.93719],Bad,Bad,Softness-0.21299999952316284
2025-01-21,2025-01-21_10_39_58_(18855)_sardine_input.jpeg,(18855)_(1),2,[    0.93742     0.90904],Bad,Good,0.982
2025-01-21,2025-01-21_10_39_58_(18855)_sardine_input.jpeg,(18855)_(2),2,[    0.93742     0.90904],Bad,Bad,Softness-0.3109999895095825
2025-01-21,2025-01-21_10_30_00_(18831)_sardine_input.jpeg,(18831)_(1),2,[    0.92413     0.94203],Bad,Bad,Softness-0.03500000014901161
2025-01-21,2025-01-21_10_30_00_(18831)_sardine_input.jpeg,(18831)_(2),2,[    0.92413     0.94203],Bad,Good,0.968
2025-01-21,2025-01-21_10_21_03_(18787)_sardine_input.jpeg,(18787)_(1),2,[    0.93112     0.91528],Bad,Bad,Softness-0.08500000089406967
2025-01-21,2025-01-21_10_21_03_(18787)_sardine_input.jpeg,(18787)_(2),2,[    0.93112     0.91528],Bad,Bad,Softness-0.06199999898672104
2025-01-21,2025-01-21_10_19_45_(18782)_sardine_input.jpeg,(18782)_(1),2,[    0.93542     0.91825],Bad,Bad,Softness-0.10999999940395355
2025-01-21,2025-01-21_10_19_45_(18782)_sardine_input.jpeg,(18782)_(2),2,[    0.93542     0.91825],Bad,Bad,Softness-0.11999999731779099
2025-01-21,2025-01-21_10_41_20_(18862)_sardine_input.jpeg,(18862)_(1),2,[    0.93481     0.93143],Bad,Good,0.832
2025-01-21,2025-01-21_10_41_20_(18862)_sardine_input.jpeg,(18862)_(2),2,[    0.93481     0.93143],Bad,Good,0.668
2025-01-21,2025-01-21_10_20_13_(18784)_sardine_input.jpeg,(18784)_(1),2,[    0.92954     0.94074],Bad,Bad,Softness-0.25099998712539673
2025-01-21,2025-01-21_10_20_13_(18784)_sardine_input.jpeg,(18784)_(2),2,[    0.92954     0.94074],Bad,Good,0.637
2025-01-21,2025-01-21_10_30_13_(18832)_sardine_input.jpeg,(18832)_(1),2,[    0.92254     0.94592],Bad,Bad,Softness-0.11400000005960464
2025-01-21,2025-01-21_10_30_13_(18832)_sardine_input.jpeg,(18832)_(2),2,[    0.92254     0.94592],Bad,Bad,Softness-0.2460000067949295
2025-01-21,2025-01-21_10_41_29_(18863)_sardine_input.jpeg,(18863)_(1),2,[    0.93781     0.94036],Bad,Bad,Softness-0.26499998569488525
2025-01-21,2025-01-21_10_41_29_(18863)_sardine_input.jpeg,(18863)_(2),2,[    0.93781     0.94036],Bad,Good,0.829
2025-01-21,2025-01-21_10_59_55_(18920)_sardine_input.jpeg,(18920)_(1),2,[    0.94349     0.93817],Bad,Bad,Softness-0.10300000011920929
2025-01-21,2025-01-21_10_59_55_(18920)_sardine_input.jpeg,(18920)_(2),2,[    0.94349     0.93817],Bad,Bad,Softness-0.02199999988079071
2025-01-21,2025-01-21_11_00_05_(18921)_sardine_input.jpeg,(18921)_(1),2,[    0.93219     0.94866],Bad,Good,0.83
2025-01-21,2025-01-21_11_00_05_(18921)_sardine_input.jpeg,(18921)_(2),2,[    0.93219     0.94866],Bad,Good,0.88
2025-01-21,2025-01-21_10_42_14_(18867)_sardine_input.jpeg,(18867)_(1),2,[    0.94466      0.9643],Bad,Bad,Softness-0.2160000056028366
2025-01-21,2025-01-21_10_42_14_(18867)_sardine_input.jpeg,(18867)_(2),2,[    0.94466      0.9643],Bad,Good,0.942
2025-01-21,2025-01-21_11_01_38_(18930)_sardine_input.jpeg,(18930)_(1),2,[    0.93844     0.91253],Bad,Bad,Softness-0.08399999886751175
2025-01-21,2025-01-21_11_01_38_(18930)_sardine_input.jpeg,(18930)_(2),2,[    0.93844     0.91253],Bad,Bad,Softness-0.43799999356269836
2025-01-21,2025-01-21_10_42_02_(18866)_sardine_input.jpeg,(18866)_(1),2,[    0.93162     0.94635],Bad,Good,0.582
2025-01-21,2025-01-21_10_42_02_(18866)_sardine_input.jpeg,(18866)_(2),2,[    0.93162     0.94635],Bad,Good,0.607
2025-01-21,2025-01-21_11_00_24_(18923)_sardine_input.jpeg,(18923)_(1),2,[    0.94772     0.95242],Bad,Bad,Softness-0.1509999930858612
2025-01-21,2025-01-21_11_00_24_(18923)_sardine_input.jpeg,(18923)_(2),2,[    0.94772     0.95242],Bad,Bad,Softness-0.08399999886751175
2025-01-21,2025-01-21_10_56_25_(18896)_sardine_input.jpeg,(18896)_(1),2,[    0.93884     0.94073],Good,Bad,Softness-0.12800000607967377
2025-01-21,2025-01-21_10_56_25_(18896)_sardine_input.jpeg,(18896)_(2),2,[    0.93884     0.94073],Good,Good,0.677
2025-01-21,2025-01-21_10_33_54_(18841)_sardine_input.jpeg,(18841)_(1),2,[    0.94546       0.943],Good,Bad,Softness-0.23199999332427979
